Geographic Area Name (NAME),"Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)",Latitude,Longitude
Census Tract 5033.33; Santa Clara County; California,"2,082,713",0,0.804,0,37.301126,−121.7886395
Census Tract 5033.36; Santa Clara County; California,"905,462",0,0.35,0,37.3067498,−121.8043765
Census Tract 5033.37; Santa Clara County; California,"765,975",0,0.296,0,37.3010098,−121.8099934
Census Tract 5033.38; Santa Clara County; California,"9,400,706",0,3.63,0,37.2767906,−121.7696638
Census Tract 5033.39; Santa Clara County; California,"3,752,155",0,1.449,0,37.2849697,−121.7667846
Census Tract 5034.01; Santa Clara County; California,"902,364",0,0.348,0,37.3330729,−121.8407940
Census Tract 5034.02; Santa Clara County; California,"728,586",0,0.281,0,37.3242017,−121.8329376
Census Tract 5035.04; Santa Clara County; California,"1,121,554",0,0.433,0,37.3358272,−121.8341637
Census Tract 5035.06; Santa Clara County; California,"999,855",0,0.386,0,37.3436482,−121.8272382
Census Tract 5035.07; Santa Clara County; California,"388,539",0,0.15,0,37.340185,−121.8319402
Census Tract 5035.08; Santa Clara County; California,"1,008,144",0,0.389,0,37.3545123,−121.8114100
Census Tract 5035.09; Santa Clara County; California,"1,078,698",0,0.416,0,37.3487217,−121.8014720
Census Tract 5035.10; Santa Clara County; California,"1,032,932",0,0.399,0,37.3494389,−121.8196391
Census Tract 5035.11; Santa Clara County; California,"829,161",0,0.32,0,37.3426023,−121.8140638
Census Tract 5036.01; Santa Clara County; California,"1,372,315",0,0.53,0,37.3583268,−121.8661802
Census Tract 5036.02; Santa Clara County; California,"1,223,265",0,0.472,0,37.344543,−121.8523293
Census Tract 5037.03; Santa Clara County; California,"655,029",0,0.253,0,37.3456372,−121.8393992
Census Tract 5037.07; Santa Clara County; California,"754,113",0,0.291,0,37.3578973,−121.8538129
Census Tract 5037.08; Santa Clara County; California,"1,219,639",0,0.471,0,37.3694488,−121.8546251
Census Tract 5037.09; Santa Clara County; California,"884,967",0,0.342,0,37.3645486,−121.8620422
Census Tract 5037.10; Santa Clara County; California,"601,268",0,0.232,0,37.3547002,−121.8469654
Census Tract 5037.11; Santa Clara County; California,"965,822",0,0.373,0,37.3498677,−121.8443656
Census Tract 5037.12; Santa Clara County; California,"664,170",0,0.256,0,37.3622865,−121.8466432
Census Tract 5037.13; Santa Clara County; California,"487,667",0,0.188,0,37.3647252,−121.8410060
Census Tract 5038.02; Santa Clara County; California,"1,674,998",0,0.647,0,37.3842879,−121.8355147
Census Tract 5038.03; Santa Clara County; California,"1,052,669",0,0.406,0,37.3835982,−121.8497624
Census Tract 5038.04; Santa Clara County; California,"1,509,505",0,0.583,0,37.3759232,−121.8448761
Census Tract 5039.02; Santa Clara County; California,"1,025,952",0,0.396,0,37.3735315,−121.8283205
